매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
던킨 인천작전점,"인천 계양구 계양대로 45 1층 101,102호",,1,3500,6400,30000,24114,34.3,24928,12,1140,3,0,30
던킨 부평삼산점,"인천 부평구 길주로 659 미라쥬타워 1층 109-1,109-3호",,1,3700,51000,90000,26120,35.5,0,19,976,0,0,50
던킨 인천청라점,"인천 서구 청라에메랄드로 99 지젤엠타워 1층 14,15호",,1,3400,170000,620000,21633,28.8,0,34,2200,0,0,14
던킨 인천용현점,인천 미추홀구 낙섬중로 17 1층,,1,2600,2600,24000,25185,35.8,0,13,1000,0,0,12
던킨 송도센트럴점,인천 연수구 센트럴로 160 센트럴파크푸르지오 판매시설 A동 1층 125호,,1,1900,120000,1100000,18438,24.6,0,28,851,0,0,6
던킨 송도신도시점,인천 연수구 신송로 122 송도프라자 1층,43,1,3900,150000,1150000,20105,24.8,0,29,851,0,0,21
던킨 인천구월로점,인천 남동구 용천로 68 써니프라자 1층,,1,2400,15000,450000,45047,44.9,0,10,2000,1,0,8
던킨 부평테크시티점,인천 부평구 부평대로 293 1층,,1,900,5000,220000,8858,36.7,15565,2,1180,0,0,21
던킨 석바위시장역,인천 미추홀구 경원대로834번길 27-12 1층 101호,,1,3600,3600,580000,25179,53.7,7867,9,991,0,0,34
던킨 인천신동춘점,인천 연수구 앵고개로264번길 10-13 대산프라자 1층 101호,,1,3100,5600,91000,27719,19.2,0,13,2200,0,0,27
던킨 인천사랑병원점,인천 미추홀구 미추홀대로722번길 18,,1,2800,3500,1160000,32171,47.5,0,21,992,0,0,79
던킨 부평동아점,인천 부평구 부평문화로 42 부신빌딩 1층 102호,,1,5400,17000,1490000,24021,43.3,0,12,1400,0,0,81
던킨 인천당하,인천 서구 원당대로 663 한종프라자 1층 104호,,1,5000,5700,190000,25214,34.4,0,21,3260,0,0,47
던킨 인천터미널점,인천 미추홀구 연남로 35 인천종합터미널 대합실 1층,,1,9000,7900000,8770000,9210,48.9,26289,6,2200,0,0,28
던킨 인천신논현점,인천 남동구 논고개로 88,,1,2800,3100,1220000,23629,36.7,0,37,2500,0,0,26
던킨 인천남동공단점,인천 남동구 남동대로 258,,1,1800,4100,6700,602,36.1,0,0,2400,0,0,3
던킨 제물포역사점,인천 미추홀구 경인로 129 2층,,1,500,5000,430000,16731,41.3,20148,8,2200,0,0,16
던킨 인천W병원점,인천 미추홀구 인주대로 396,,1,2800,4200,480000,30247,42.3,0,15,1170,0,0,16
던킨 인천신현점,인천 서구 가정로394번길 2 1층,,1,2200,6200,830000,38949,33.6,0,14,2130,0,0,15
던킨 부평세림병원점,인천 부평구 부평대로 175 세림병원 1층,,1,5600,20000,620000,26152,41.4,12343,9,1350,0,0,17
던킨 인천검단점,인천 서구 이음대로 378 로뎀타워 1동 1층 120호,,1,4800,67000,1150000,19358,23,0,31,2700,0,0,6
던킨 인천영종점,"인천 중구 하늘중앙로225번길 3 영종M타워 1층 109,110호",,1,4000,36000,1240000,23999,37,0,25,4760,0,0,24
던킨 검암역사점,인천 서구 검바위로 26 검암역 환승통로 1층 6호,,1,8600,36000,68000,6164,36,7273,0,0,0,0,8
던킨 영종도운남점,"인천 중구 흰바위로 274 부강프라자 1층 101,102호",,1,1700,5200,130000,6913,58.7,0,4,4800,0,0,8
던킨 인천서창점,인천 남동구 서창남로 52 경성프라자 1층 101호,,1,2900,6600,850000,14378,36,0,29,3500,2,0,15
던킨 공항철도검암역점,인천 서구 검바위로 26 1층,,1,8600,36000,68000,6164,36,7273,0,0,0,0,15
던킨 간석홈플러스점,인천 남동구 경원대로 971 홈플러스간석점 2층,,1,4800,1600000,2110000,21003,44.3,0,4,1100,0,0,9
던킨 인천공항1호점,인천 중구 공항로 272 제1여객터미널 면세지역 3층 24번 게이트 부근,,1,18000,4900000,0,0,64.1,0,0,320,0,0,0
던킨 인하대역점,인천 미추홀구 용정공원로83번길 43,,1,2700,12000,480000,18853,43,13298,15,1000,0,0,4
던킨 인천공항3호점,인천 중구 공항로 272 탑승동 3층 112번 게이트 부근,,1,25000,530000,0,0,64.1,0,0,600,0,0,0
던킨 부평롯데마트점,인천 부평구 마장로 296 2층,,1,5300,460000,630000,32213,28.1,0,8,1400,1,0,12
던킨 인천공항4호점,인천 중구 공항로 272 탑승동 3층 127번 게이트 부근,,1,6300,530000,0,0,64.1,0,0,650,0,0,0
