매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
파리바게뜨 부평역점,인천 부평구 시장로 12 1층,,2,6000,14000,3210000,30696,46.3,13714,16,320,4,0,90
파리바게뜨 강화길상점,인천 강화군 길상면 온수길 35 1층,,2,3600,3600,84000,1222,46,0,5,11170,1,0,1
파리바게뜨 신포시장점,인천 중구 우현로 49-1,,2,5600,5600,29000,10512,47.5,3676,14,730,4,0,15
파리바게뜨 갈산역점,인천 부평구 평천로 290,,2,2300,12000,300000,13505,36.7,15565,5,310,0,0,23
파리바게뜨 송도글로벌점,인천 연수구 송도문화로28번길 28 1층,,2,7700,8800,370000,26906,33,0,14,740,3,0,1
파리바게뜨 청라6단지점,인천 서구 차오름로 27 1층,,2,1900,2100,40000,5867,31.3,0,0,900,1,0,4
파리바게뜨 구월팬더점,인천 남동구 인주대로 661 조양씨티프라자 1층,,2,4000,4000,58000,36625,43.4,0,5,410,1,0,58
파리바게뜨 부평구청역점,인천 부평구 길주로 547 1층 2호,,2,6700,13000,410000,24827,42.8,12343,6,490,2,0,17
파리바게뜨 인천계산점,"인천 계양구 주부토로 541 111,112호",,2,5200,5200,84000,33523,47.3,18773,8,400,5,0,14
파리바게뜨 부평시장점,인천 부평구 부흥로 297,,2,4000,4100,990000,41575,46.9,23442,9,510,3,0,17
파리바게뜨 신기시장점,인천 미추홀구 인하로 259 101호,,2,5600,12000,950000,35283,41.7,0,16,320,1,0,14
파리바게뜨 주안역점,인천 미추홀구 미추홀대로 735 1층,,2,5000,9800,25000,31399,47.3,14907,5,430,0,0,80
파리바게뜨 인천서구청점,인천 서구 탁옥로 61,,2,10000,10000,650000,21011,39.7,14639,5,630,0,0,44
파리바게뜨 인천신세계점,인천 남동구 인하로489번길 16 세동네오스 102호,,2,8000,55000,9970000,14580,48.7,26289,6,240,0,0,55
파리바게뜨 송도퍼스트파크점,"인천 연수구 컨벤시아대로252번길 50 송도퍼스트파크단지 상가 105, 106호",,2,4000,5400,340000,21388,24.9,0,6,1000,2,0,1
파리바게뜨 부평오거리점,인천 부평구 경원대로 1440,,2,3500,3500,680000,35625,44.8,13714,4,400,0,0,83
파리바게뜨 연수로얄점,인천 연수구 앵고개로264번길 30-4,,2,7900,8100,730000,26646,19.1,0,7,440,6,0,27
파리바게뜨 공항신도시점,인천 중구 흰바위로 31 에어로시티프라자 110호,,2,4500,23000,1080000,9940,63.7,18916,8,830,1,0,11
파리바게뜨 석남로데오점,인천 서구 길주로 83 1층,,2,2500,2800,420000,22416,45,9278,3,430,0,0,23
파리바게뜨 계양구청점,인천 계양구 계양문화로 86,,2,4000,21000,1660000,31964,39.2,0,4,420,3,0,45
파리바게뜨 부평롯데점,인천 부평구 부평문화로 50 101호,,2,6100,12000,1710000,26342,43.2,13714,17,300,1,0,91
파리바게뜨 신흥사거리점,인천 중구 서해대로 458,,2,2700,2700,200000,17874,48.8,0,3,660,1,0,3
파리바게뜨 강화읍점,인천 강화군 강화읍 북문길 1 1층,,2,5000,5700,310000,5471,42.9,0,8,11630,2,0,8
