매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
뚜레쥬르 인천시청점,인천 남동구 구월로 81 1층,,3,5800,11000,160000,22297,48,7700,7,750,1,0,5
뚜레쥬르 산곡푸르지오점,인천 부평구 마장로324번길 82 1층,,3,3200,13000,200000,36459,28.1,17060,9,800,3,0,16
뚜레쥬르 청라센타시아점,인천 서구 중봉대로612번길 16 청라센타시아 1층,,3,4200,5700,2150000,28744,28.7,0,28,1970,0,0,10
뚜레쥬르 카페석남점,인천 서구 가정로 246 105호,,3,4600,11000,420000,24929,45,9278,15,1910,0,0,19
뚜레쥬르 신기점,인천 미추홀구 미추홀대로 589 나동 108호,,3,5700,5700,140000,31582,42.2,13714,17,590,1,0,14
뚜레쥬르 검단아라점,인천 서구 푸르내2길 4 1층,,3,4700,4700,200000,20312,25.1,0,10,1060,0,0,1
뚜레쥬르 부평중앙점,인천 부평구 부흥로 283 1층,,3,3300,4200,1100000,38412,46.9,23442,34,1560,3,0,39
뚜레쥬르 주안파크자이점,인천 미추홀구 인하로221번길 6 다안빌딩 1층 103호,,3,5800,8800,260000,28776,47.2,0,36,610,1,0,17
뚜레쥬르 연수단비점,인천 연수구 청능대로113번길 43 동순빌딩 1층 102호,,3,2800,13000,1690000,17386,39.1,9591,20,560,3,0,25
뚜레쥬르 송도아트윈점,인천 연수구 인천타워대로 253-25 송도아트윈푸르지오아파트 상가 1층 104호,,3,2200,15000,260000,7504,18.6,7404,36,1000,0,0,3
뚜레쥬르 검단신도시,인천 서구 이음5로 20 연세프라자8차 110~111호,,3,4000,51000,810000,18223,25.8,0,19,1140,2,0,11
뚜레쥬르 인천만수시장점,인천 남동구 만수로19번길 3 동성빌딩 1층,,3,600,2700,380000,12184,40.9,9023,10,310,3,0,25
뚜레쥬르 간석역점,"인천 미추홀구 주안로 226 더월드스테이트 중심상가동 1층 114,114-1,115-1호",,3,5100,12000,370000,29647,44.9,10927,13,730,3,0,40
뚜레쥬르 부평청천점,인천 부평구 세월천로 51 1층,,3,2900,11000,610000,29981,28.9,17060,21,760,3,0,29
뚜레쥬르 인천효성점,인천 계양구 봉오대로 613 104호,,3,3300,3700,87000,23892,38.6,24928,4,1500,5,0,21
뚜레쥬르 루원sk점,인천 서구 가정로 437 301동 B211호,,3,5100,5100,100000,33483,32.5,19793,4,1980,2,0,14
뚜레쥬르 송도글로벌파크점,"인천 연수구 송도문화로28번길 27 상가1동 103~104,203호",,3,3400,15000,280000,27723,33,0,7,970,3,0,0
뚜레쥬르 호구포역점,인천 남동구 호구포로 219 세중프라자 1층,,3,6200,19000,390000,12067,38.5,7459,20,1930,0,0,8
뚜레쥬르 계양구청점,인천 계양구 계산새로 71 하이베라스 B동 1층 113호,,3,3900,110000,1490000,34487,39.2,0,39,1200,1,0,38
뚜레쥬르 계양작전점,인천 계양구 장제로 672 109호,,3,1700,11000,170000,30859,35,0,7,1060,2,0,19
뚜레쥬르 인하대역점,인천 미추홀구 독배로317번길 29 컬러프라자 1층 102~103호,,3,6700,12000,430000,20228,42.9,13298,13,720,2,0,4
뚜레쥬르 인천원당점,인천 서구 고산후로95번길 20 힘찬프라자 1층,,3,4900,4900,580000,21523,25.8,0,19,1160,2,0,17
뚜레쥬르 부개점,"인천 부평구 부개로 73 석영프라자 101,104호",,3,5700,70000,260000,24685,30.1,11291,10,600,6,2,23
뚜레쥬르 청라시티프라디움점,인천 서구 청라한내로 131 인천청라시티프라디움 상가 104~105호,,3,2700,14000,100000,11792,29.2,0,5,2120,1,0,3
뚜레쥬르 인천숭의점,인천 미추홀구 인주대로45번길 44 1층 101호,,3,6400,6400,350000,30685,44,0,16,870,0,0,27
뚜레쥬르 인천불로창성점,인천 서구 검단로768번길 10 창성프라자 101호,,3,9100,9100,300000,13130,31.2,0,6,1960,1,0,7
뚜레쥬르 영종하늘도시점,인천 중구 하늘중앙로195번길 29 진로프라자 1층 111~112호,,3,4300,160000,1020000,19896,30.2,0,21,400,0,0,24
뚜레쥬르 인천송림점,인천 동구 송림로 113 송영빌딩 1층,,3,4300,14000,260000,16295,38.1,0,9,1420,9,0,9
뚜레쥬르 소래포구역점,인천 남동구 소래역남로 10 광장코아 105~106호,,3,4400,16000,640000,18524,35.9,10422,16,1020,2,0,10
뚜레쥬르 나사렛국제병원점,인천 연수구 앵고개로 248 로얄빌딩 1층,,3,6800,6800,730000,26515,19.1,0,19,750,3,0,29
뚜레쥬르 송도그린워크점,인천 연수구 아트센터대로97번길 30 더샵그린워크1차 상가동 1층 101~102호,,3,4200,12000,180000,26753,14.9,0,4,1010,3,0,9
뚜레쥬르 부평산곡점,인천 부평구 부영로189번길 51 오남프라자 118호,,3,3500,3500,160000,40578,33.5,0,12,640,2,0,15
뚜레쥬르 인천논현점,인천 남동구 에코중앙로156번길 5-19 1층,,3,3900,3900,160000,16141,28.5,0,6,1000,4,0,1
뚜레쥬르 제물포역점,인천 미추홀구 수봉로 1 1층,,3,5000,5700,420000,19073,41.6,20148,6,1160,5,0,19
