매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
컴포즈커피 인천검단대성베르힐점,인천 서구 이음1로 154 검단대성베르힐상가 106호,,4,1700,8800,190000,19734,27.6,0,3,740,0,0,0
컴포즈커피 인천동암역점,인천 부평구 아트센터로 24 상가1-2층,,4,1800,1800,650000,25107,43.3,30424,13,560,0,0,70
컴포즈커피 구월로데오점,인천 남동구 성말로 10 효명프라자 1층 103호,,4,2400,71000,10070000,16623,50,26289,29,400,0,0,63
컴포즈커피 인천도화엘리웨이점,인천 미추홀구 숙골로87번길 5 더샵인천스카이타워2단지 1층,,4,2400,99000,700000,25543,41.5,20148,25,833,0,0,15
컴포즈커피 인천시청점,인천 남동구 구월남로 116 1층 106호,,4,2200,7800,1020000,21664,44,7700,24,350,0,0,88
컴포즈커피 인천송도스마트스퀘어점,인천 연수구 송도미래로11번길 27 B동 124호,,4,1500,75000,270000,17209,46.3,0,5,520,0,0,3
컴포즈커피 부평그랑프리점,인천 부평구 경원대로 1404 그랑프리빌딩 1층 102호,,4,1800,83000,2710000,31423,46.3,13714,64,200,0,0,112
컴포즈커피 인천숭의삼거리점,인천 미추홀구 경인로 84 1층,,4,2000,2000,200000,19504,41.6,20148,9,640,1,0,16
컴포즈커피 숭의로터리점,인천 미추홀구 석정로 21 저스트병원타워 106호,,4,1700,8000,310000,28715,42,0,14,460,0,0,19
컴포즈커피 인천부평고점,인천 부평구 주부토로 74 1층,,4,1100,5800,300000,38888,47.1,0,18,400,3,0,34
컴포즈커피 인천임학역점,인천 계양구 장제로 877 1층,,4,2000,4900,500000,34865,43.2,0,15,277,1,0,18
컴포즈커피 청라점,인천 서구 중봉대로612번길 10-22 우리프라자 111호,,4,2300,32000,1440000,25875,28.8,0,38,250,0,0,13
컴포즈커피 인천나은병원점,"인천 서구 원적로47번길 6 상가 1층 116, 126호",,4,1300,14000,220000,27264,40.2,0,8,370,3,0,7
컴포즈커피 인천옥련시장점,인천 연수구 독배로40번길 7 101호,,4,2100,2100,700000,26842,33.1,0,11,680,2,0,22
컴포즈커피 인천연안부두점,인천 중구 축항대로86번길 28 1층 1호,,4,2700,2700,860000,4695,54.9,0,8,2450,1,0,6
컴포즈커피 인천차이나타운점,인천 중구 제물량로 270 1층,,4,1100,1800,290000,4297,57.2,5931,21,980,1,0,2
컴포즈커피 인천선학점,인천 연수구 학나래로118번길 9 상가 1층 106호,,4,2100,61000,300000,13274,41.9,11234,11,1130,0,0,26
컴포즈커피 인천간석벽산점,"인천 남동구 호구포로 897 1층 101,106호",,4,1800,7000,340000,37408,36.3,0,9,480,1,0,23
컴포즈커피 인천구월한화포레나점,인천 남동구 석산로 202 원진프라자 1층 107호,,4,1000,4200,200000,34810,36.7,0,7,400,3,0,25
컴포즈커피 인천용현엑슬루타워점,인천 미추홀구 아암대로29번길 48 백운프라자 1층 108호,,4,1100,31000,240000,30294,39.9,0,10,500,0,0,10
컴포즈커피 인하헤리움점,인천 미추홀구 용정공원로83번길 49 인하대역헤리움메트로타워 1층 111호,,4,1600,120000,500000,17196,43,13298,16,730,0,0,4
컴포즈커피 구월지웰시티점,인천 남동구 남동대로799번길 34 신영구월지웰시티푸르지오 판매시설 B동 1층 130호,,4,1400,62000,290000,34835,43.2,0,23,410,1,0,61
컴포즈커피 인천송림파인앤유점,인천 동구 송림로162번길 10 주상복합아파트 상가동 지1층 B101호,,4,2200,18000,89000,18206,38.4,0,4,730,3,0,8
컴포즈커피 인천남동중앙점,인천 남동구 논현고잔로109번길 84 107호,,4,2200,3200,49000,100,28.9,0,0,580,0,0,2
컴포즈커피 인천간석시장점,인천 남동구 백범로 329 1층,,4,1000,2000,570000,33626,38.3,0,17,400,0,0,45
컴포즈커피 인천숭의스타디움점,인천 미추홀구 참외전로 268 스타디움센트럴시티 상가동 1층 B208호,,4,1500,34000,370000,20202,44.5,6403,8,480,0,0,14
컴포즈커피 인천신포DS점,인천 중구 개항로 44-2 1-2층,,4,1600,2800,700000,9400,52.1,0,36,800,1,0,17
컴포즈커피 인천산곡역점,인천 부평구 마장로 320 한화프라자 1층 107호,,4,1500,36000,670000,27112,28.1,17060,11,410,2,0,10
컴포즈커피 인천도화금강점,인천 미추홀구 염전로202번길 48-16 1층 101호,,4,2100,2100,100000,12088,36.4,0,6,820,1,0,0
컴포즈커피 인천완정사거리점,인천 서구 원당대로 673 태한빌딩 1층 103호,,4,1800,9500,700000,22685,34.4,13276,13,380,0,0,45
컴포즈커피 인하대후문점,인천 미추홀구 인하로105번길 16 동림주택 1층,,4,1500,1500,250000,16079,45.4,0,24,1100,0,0,7
컴포즈커피 인천부평그랑힐스점,인천 부평구 청중로 47 1층,,4,1200,1200,330000,30494,32.2,0,13,450,0,0,14
컴포즈커피 인천송현점,인천 동구 송현로 19 1층 1호,,4,1000,1000,370000,24759,47.1,26792,14,350,0,0,9
컴포즈커피 인천송도센트럴파크점,인천 연수구 인천타워대로180번길 11 더샵송도센트럴파크3차 상가 A동 1층 112호,,4,1200,61000,320000,12165,24.6,14271,10,630,0,0,5
컴포즈커피 인천삼산점,인천 부평구 길주로 639 1층 103호,,4,1500,21000,1610000,26627,40.2,18509,30,440,0,0,48
컴포즈커피 인천가좌코오롱DS점,인천 서구 가정로151번길 4 102동 1층 110호,,4,1800,25000,820000,19081,45.3,0,12,440,1,0,13
컴포즈커피 검단금호점,인천 서구 이음5로 66 1층 107호,,4,2200,29000,940000,20067,25.4,0,26,340,0,0,7
컴포즈커피 인천만수3지구점,인천 남동구 장승남로 42 은빛프라자 1층 103호,,4,2000,6300,720000,22217,42.8,0,21,970,1,0,30
컴포즈커피 인천논곡점,인천 남동구 함박뫼로 438-2 1동 1층 101호,,4,1200,2000,63000,11142,41.7,0,4,770,2,0,1
컴포즈커피 인천용현점,인천 미추홀구 낙섬중로 3 영진상가 1층 105호,,4,1000,5500,350000,23250,35.8,0,15,450,0,0,11
컴포즈커피 인천부평일신점,인천 부평구 경인로1104번길 23 동남빌딩 1층,,4,1000,1000,310000,18792,32,0,10,720,1,0,25
컴포즈커피 인천동구청점,인천 동구 샛골로 123 노블리안힐스 108호,,4,2200,9500,170000,11426,41.2,0,9,750,1,0,8
컴포즈커피 인천남촌점,인천 남동구 남촌동로 36 1층,,4,600,1000,150000,10017,39,0,11,1000,0,0,7
컴포즈커피 인천주안힐스테이트푸르지오점,인천 미추홀구 남주길 150 근린생활시설-2 1층 114호,,4,1900,59000,60000,27837,42.7,0,5,470,0,0,11
컴포즈커피 인천구월아시아드점,인천 남동구 선수촌공원로17번길 1 구월테크노밸리 1층 110호,,4,2700,3300,380000,8993,48.8,0,15,360,0,0,25
컴포즈커피 인천운서역점,인천 중구 영종대로162번길 26 삼성홈큐브 1층 112호,,4,2500,11000,390000,9886,64.1,18916,13,1420,0,0,8
컴포즈커피 인천송도해온프라자점,인천 연수구 컨벤시아대로130번길 18 102호,,4,1400,6000,1090000,20802,24.6,0,33,400,0,0,14
컴포즈커피 인천강화점,인천 강화군 강화읍 강화대로 423-1 1층,,4,1000,10000,310000,5581,43.1,0,11,11000,0,0,9
컴포즈커피 인천정서진점,인천 서구 정서진5로 37 A동 104호,,4,1200,7600,35000,0,32.3,0,2,1100,0,0,1
컴포즈커피 인천서구청점,인천 서구 서곶로315번길 13 1층,,4,2100,2900,940000,25004,45.8,14639,19,400,0,0,57
컴포즈커피 인천가좌G타워점,인천 서구 백범로630번길 16 GJ가좌타워 지식산업센터 1층,,4,1500,46000,260000,1036,39.4,0,5,650,0,0,5
컴포즈커피 인천주안센트레빌점,인천 미추홀구 석정로433번길 31 1층 101호,,4,1200,5100,200000,23794,46.5,14907,14,490,1,0,23
컴포즈커피 송도해양경찰청점,인천 연수구 해돋이로 118 마린프라자 103호,68,4,1300,5300,1050000,19871,26.6,0,30,300,0,0,18
컴포즈커피 인천연수역남부점,인천 연수구 벚꽃로 106 연수광장프라자 1층,,4,2100,66000,880000,15461,39.3,9591,19,340,0,0,38
컴포즈커피 청라호수공원점,인천 서구 청라루비로 95 경연프라자 1층 103호,,4,1400,30000,470000,19436,27.7,0,20,500,0,0,10
컴포즈커피 인천연수점,인천 연수구 용담로 130-1 1층,,4,900,1200,1400000,19714,39.3,0,31,410,2,0,34
컴포즈커피 인천구월한주점,인천 남동구 문화서로 76 한주빌딩 1층,,4,2000,6200,280000,23425,47.9,0,10,490,1,0,45
컴포즈커피 부평한라비발디점,인천 부평구 대정로 7 105호,,4,1600,40000,1120000,37286,47.1,23442,32,330,1,0,42
컴포즈커피 인천동암더샵점,인천 부평구 열우물로 90 더샵부평센트럴시티상가 1층,,4,1100,130000,200000,30496,43.5,30424,10,330,2,0,30
컴포즈커피 간석오거리점,인천 남동구 남동대로 923 1층,,4,1300,4100,510000,28630,44.9,19156,25,260,0,0,46
컴포즈커피 인천주안제일점,인천 미추홀구 제일로 20 1층,,4,1200,1200,260000,23233,50.4,0,11,510,0,0,18
컴포즈커피 인천부개먹자대로점,인천 부평구 수변로78번길 11 1층,,4,1400,1500,490000,24223,35,0,15,810,1,0,11
컴포즈커피 동인천역파크푸르지오점,인천 동구 화도진로 16 상가동 1층 107호,,4,1800,13000,120000,21004,46.4,26792,5,350,1,0,8
컴포즈커피 인천서부경찰서점,인천 서구 탁옥로97번길 2 1층,,4,2200,2600,240000,11725,45.8,0,8,520,1,0,31
컴포즈커피 송도학원가점,인천 연수구 신송로 154 1층,,4,2300,150000,2190000,18245,26.6,0,52,320,0,0,28
컴포즈커피 인천석남점,인천 서구 가정로 286 1층 2~3호,,4,600,1200,500000,28850,38.6,0,16,870,0,0,26
컴포즈커피 인천검암2지구점,인천 서구 승학로 577 1층,,4,1700,16000,190000,11451,36,0,9,850,0,0,21
컴포즈커피 인천학익검찰청점,인천 미추홀구 학익소로 29 석목법조빌딩 1층 111호,,4,2700,19000,120000,24548,44.5,0,5,420,1,0,53
컴포즈커피 인천원당점,인천 서구 고산후로95번길 28 1층 102호,,4,1700,15000,560000,20544,28.1,0,20,1200,0,0,16
컴포즈커피 인천작전점,인천 계양구 계양대로 44 덕용프라자 1층 102호,,4,1100,5100,680000,23919,34.3,24928,17,330,1,0,19
컴포즈커피 송도캠퍼스타운점,인천 연수구 송도과학로27번길 55 상가B동 116호,,4,2200,190000,210000,16153,30.9,10565,10,900,0,0,0
컴포즈커피 인천송도읍내점,인천 연수구 신송로 122 송도프라자 1층 110호,43,4,1700,150000,1660000,20105,24.8,0,35,350,0,0,26
컴포즈커피 인천신흥시장점,인천 중구 서해대로454번길 7 101호,,4,1600,1600,150000,17787,48.8,0,7,770,1,0,5
컴포즈커피 임학DS점,인천 계양구 계양산로 193 1층,,4,1600,5000,580000,26661,43.2,14302,18,270,2,0,13
컴포즈커피 인천삼산중학교점,인천 부평구 장제로340번길 49 1층,,4,1300,5900,350000,27294,33.4,0,16,500,2,0,14
컴포즈커피 인천송도아트포레점,인천 연수구 인천타워대로 257 송도아트포레푸르지오시티 B동 112호,,4,900,120000,270000,7200,18.5,0,21,650,0,1,2
컴포즈커피 인천효성제일풍경채점,인천 계양구 효서로112번길 2 1층,,4,1300,3900,200000,19475,32.3,0,11,540,0,0,10
컴포즈커피 인천송도그린워크점,인천 연수구 컨벤시아대로130번길 100 송도더샵그린워크3차18단지아파트 상가 104호,,4,1100,10000,400000,18272,18.5,0,12,750,1,0,6
컴포즈커피 인천토지금고점,인천 미추홀구 토금중로47번길 1 1층,,4,1400,1500,650000,33903,38.9,0,24,440,1,0,17
컴포즈커피 인천효성점,인천 계양구 안남로 568 105호,,4,1000,5600,280000,20353,43.3,0,13,680,1,0,13
컴포즈커피 인천삼산초등학교점,인천 부평구 후정동로 28 상가 1층 5호,,4,900,3000,130000,32251,32.1,0,8,400,2,0,19
컴포즈커피 인천율도점,인천 서구 율도로15번길 4 바롬채 1층 102호,,4,1300,6100,95000,14960,39.7,0,5,880,1,0,12
컴포즈커피 인천귤현점,인천 계양구 굴재길 2 석기빌딩 1층,,4,1100,3900,140000,9028,31.8,0,9,1070,1,0,9
컴포즈커피 주안한신휴점,인천 미추홀구 승학길 114 1층,,4,1600,1400,390000,29510,43.2,0,3,410,0,0,11
컴포즈커피 인천가재울역트루엘에코시티점,인천 서구 열우물로240번길 20 1층,,4,1200,29000,88000,9606,33.9,0,5,670,1,0,1
