매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
이디야커피 부평동점,인천 부평구 경원대로 1404 그랑프리빌딩 1층 110호,,5,1600,83000,2710000,31423,46.3,13714,62,200,0,0,37
이디야커피 부평동암점,인천 부평구 열우물로25번길 14-3 동암비버리씨티 1층 107호,,5,2000,23000,740000,24782,42.3,30424,15,420,0,0,34
이디야커피 인천송현점,인천 동구 수문통로 54 1층,,5,1200,2400,300000,21321,45.5,0,7,880,1,0,7
이디야커피 인천CGV점,인천 남동구 예술로 206 구월중앙프라자 B동 1층 105~106호,,5,1200,32000,1100000,20864,43.9,20963,27,680,2,0,40
이디야커피 인천간석오거리점,인천 남동구 백범로 406 1층,,5,900,2800,290000,25572,44.7,19156,15,610,1,0,11
이디야커피 부평삼산점,인천 부평구 길주로 641 근영프라자 1층,,5,1800,25000,1600000,27161,40,18509,31,170,0,0,25
이디야커피 인천부개역점,인천 부평구 수변로10번길 48 한울팰리스 1층,,5,1000,1000,370000,22042,31.9,16226,8,450,2,0,13
이디야커피 부평남부역점,인천 부평구 동수북로 170 1층,,5,1300,2000,1120000,30294,46.3,13714,39,250,0,0,26
이디야커피 인천도화제일점,인천 미추홀구 경인로 314 스타뷰 1층 101호,,5,1400,2800,370000,26584,48.3,0,15,460,0,0,16
이디야커피 계양로데오점,"인천 계양구 오조산로57번길 15 1-2층 108,203~204호",,5,2100,28000,1120000,32575,35,0,32,480,2,0,27
이디야커피 인천관교점,인천 미추홀구 인하로 378 1-2층,,5,300,300,370000,24791,50.3,0,11,790,3,0,13
이디야커피 인천운서카페거리점,인천 중구 햇내로안길 6 1층,,5,2300,2300,230000,6331,63.7,0,11,730,0,0,1
이디야커피 인천구월문화점,인천 남동구 문화로 85 1층,,5,900,2500,950000,17577,51.5,20963,28,680,0,0,5
이디야커피 청라제일풍경채점,인천 서구 청라커낼로 321 1층,,5,500,5400,290000,27188,35.1,0,12,830,3,1,0
이디야커피 인천작전역점,인천 계양구 봉오대로 671 우남푸르미아 1-2층,,5,1500,12000,680000,23600,37.3,24928,19,910,0,0,16
이디야커피 인천남동구청역점,인천 남동구 인주대로 888 101호,,5,2100,2200,340000,20862,42,7815,18,590,3,0,12
이디야커피 인천검단사거리점,"인천 서구 검단로 480 검단리치웰프라자 1-2층 103, 202호",,5,1600,17000,650000,20487,35.6,15003,13,1600,1,0,41
이디야커피 인천계산중앙점,인천 계양구 경명대로 1147 1층 101~103호,,5,900,2400,740000,34896,45.1,0,9,850,1,0,10
이디야커피 인천강화동막점,인천 강화군 화도면 해안남로 1508 3층,,5,2100,3200,280000,72,49.9,0,6,5940,0,0,0
이디야커피 인천숭의점,인천 미추홀구 제물량로24번길 51 솔루나 1층,,5,1000,8100,250000,20758,41.9,7670,10,490,0,0,8
이디야커피 인천마장초교점,인천 부평구 안남로 271 1층,,5,1100,2300,160000,35726,28.1,0,8,650,3,0,1
이디야커피 인천간석역점,인천 미추홀구 주안로 219 간석빌딩 1층,,5,2000,16000,340000,33743,46.2,10927,10,570,3,0,14
이디야커피 인천만수역점,인천 남동구 구월로 350 1층,,5,800,2400,350000,29157,43.1,9023,9,730,1,0,22
이디야커피 부평시장역점,인천 부평구 부평대로 71-1 1층,,5,1000,1100,910000,36615,44.5,23442,32,600,2,0,27
이디야커피 인천가좌역점,인천 서구 장고개로243번길 25 네스트빌딩 1층 106호,,5,800,25000,140000,8202,40.1,7093,8,1140,0,0,3
이디야커피 인천청천동점,인천 부평구 세월천로 34 1층,,5,1800,84000,540000,26649,28.9,0,12,710,2,0,8
이디야커피 인천법원점,인천 미추홀구 소성로185번길 28 명인빌딩 1층 105호,,5,1100,1100,390000,21618,37.5,0,22,620,2,0,48
이디야커피 인천원당점,인천 서구 원당대로 876 희림타워 1층 104호,,5,700,33000,450000,22550,25.8,0,15,2020,1,1,14
이디야커피 인천용현유원점,인천 미추홀구 낙섬중로 110 1-2층,,5,1800,1800,310000,36773,39.7,0,9,560,1,0,4
이디야커피 인천검암점,인천 서구 승학로 498 서해프라자 1층 107호,,5,500,9000,500000,14205,35.9,0,10,760,1,0,27
이디야커피 강화길상점,인천 강화군 길상면 길상로 294 1층 106호,,5,1100,6800,180000,945,46,0,2,5940,1,0,0
이디야커피 인천선학역점,인천 연수구 학나래로118번길 45 1층,,5,1600,7700,380000,14009,41.7,11234,12,1350,1,0,22
이디야커피 인천가정점,인천 서구 봉오재3로 100 금강하이프라자 1층 105호,,5,600,19000,730000,21609,32.5,0,29,560,0,0,9
이디야커피 인천도림점,인천 남동구 논고개로 311-1 1층,,5,900,900,170000,8164,38.4,0,6,1600,1,0,6
이디야커피 인천청운대점,인천 미추홀구 숙골로112번길 2 드림프라자 1층,,5,700,11000,690000,20863,40.6,0,21,460,3,0,5
이디야커피 공항신도시점,인천 중구 신도시남로 131 1층,,5,700,700,1210000,9631,63.7,18916,13,730,0,0,7
이디야커피 인천박촌점,인천 계양구 장제로 1013 1층,,5,1700,8000,190000,11244,38.2,6861,8,1310,2,0,3
이디야커피 인천공항IBC점,인천 중구 공항로424번길 66 LG인천공항에클라트 103호,,5,2000,24000,4050000,647,63.7,35765,8,6500,0,0,2
이디야커피 인천함박마을점,인천 연수구 비류대로433번길 26 오부빌딩 1층,,5,1000,2500,260000,10139,48.6,0,13,760,0,0,6
이디야커피 경인여대점,"인천 계양구 경명대로1045번길 21-1 1,2층",,5,400,2500,270000,20812,48.4,0,17,860,2,0,6
이디야커피 인천을왕리점,인천 중구 을왕로 10 1층,,5,1400,1400,140000,409,64.3,0,5,7800,0,0,3
이디야커피 송도국제업무지구역점,인천 연수구 인천타워대로 323 센트로드 D동 102호,,5,700,130000,360000,1106,18.6,3087,15,670,0,0,3
이디야커피 부평부개동점,인천 부평구 길주남로 108-1 1층,,5,1000,1900,460000,31454,40,0,14,370,3,0,20
이디야커피 청라하나금융TI점,인천 서구 에코로 167 하나금융그룹통합데이터센터 1층,,5,2800,7100,18000,0,0,14554,1,2130,0,0,2
이디야커피 인천귤현점,인천 계양구 귤현길 6 1층,,5,1300,1400,140000,8963,31.7,0,9,1310,1,0,8
이디야커피 인천계산도두리점,인천 계양구 용종로 2 1층,,5,1300,37000,240000,27553,38.7,0,6,470,4,0,0
이디야커피 인천시민공원점,인천 미추홀구 미추홀대로 703 1층,,5,500,2200,1110000,30737,47.3,0,41,460,0,0,52
이디야커피 인천보훈병원점,인천 미추홀구 인주대로 147 1층,,5,1300,1300,260000,20579,50.6,0,12,530,0,0,1
이디야커피 인천연수푸르지오점,인천 연수구 벚꽃로 130-4,,5,800,3800,1020000,17160,39.1,9591,24,290,0,0,18
이디야커피 인천동춘동점,인천 연수구 앵고개로 242 1층,,5,1300,35000,720000,27144,19.1,0,18,440,3,0,27
이디야커피 인천주안북부역점,인천 미추홀구 염창로 55 1층,,5,1700,4600,880000,28556,46.2,14907,24,610,2,0,22
이디야커피 인천부평U1센터점,인천 부평구 주부토로 236 인천테크노밸리U1센터 A동 3층 328호,,5,300,140000,260000,26542,33.5,0,22,580,0,0,14
이디야커피 인천송도학원가점,인천 연수구 신송로 165-10 더아르곤 1층,,5,2000,29000,1750000,20844,26.9,0,40,470,1,0,18
이디야커피 인천심곡동점,인천 서구 심곡로 44 1층 101호,,5,1200,1200,630000,15377,38.1,14639,13,990,1,0,21
이디야커피 인천가좌점,인천 서구 원적로 105 1층,,5,1800,5900,750000,26757,39.1,0,13,1140,1,0,8
이디야커피 산곡동점,인천 부평구 부영로189번길 51 오남프라자 1층,,5,1500,93000,520000,40578,33.5,0,12,650,2,0,9
이디야커피 인천간석중앙점,인천 남동구 석정로 575 106호,,5,500,500,230000,21856,43.8,0,4,420,5,0,22
이디야커피 인천강화점,인천 강화군 강화읍 강화대로 392 1-2층,,5,1000,1000,200000,4094,42.9,0,8,11480,0,1,3
이디야커피 송도라이크홈점,인천 연수구 첨단대로 80 1층,,5,3800,32000,150000,10678,30.2,0,13,1490,1,0,0
이디야커피 인천연수문화공원점,인천 연수구 새말로107번길 3 1층,,5,400,1000,290000,18425,48.5,9591,15,290,1,0,8
이디야커피 인천대성베르힐점,인천 서구 새오개로111번안길 31 1층 104호,,5,900,1500,110000,23924,32.3,0,5,740,6,0,1
이디야커피 인하대점,인천 미추홀구 인하로 55 준영상가 1-2층,,5,800,800,270000,11607,42.9,0,28,530,2,0,530
이디야커피 인천영흥도점,인천 옹진군 영흥면 영흥로 256 1층,,5,2300,4500,8900,177,56.7,0,2,8300,0,0,1
이디야커피 인천운남점,인천 중구 운중로 45 1층,,5,1000,1000,77000,3577,50.4,0,5,3590,0,0,2
이디야커피 구월롯데캐슬점,인천 남동구 구월남로268번길 1 1층,,5,500,500,930000,32586,40.7,0,16,210,1,1,12
이디야커피 인천논현역점,인천 남동구 논고개로123번길 22 1층,,5,400,400,1220000,20209,36.5,10978,21,320,1,0,16
이디야커피 인천옥련점,인천 연수구 독배로40번길 35 대명빌딩 2층,,5,900,16000,720000,29679,32.9,0,13,960,2,0,19
이디야커피 부평아이즈빌점,인천 부평구 마장로 473 1층,,5,400,1100,570000,20030,31.8,0,21,830,1,0,4
이디야커피 송도지식정보단지역점,인천 연수구 하모니로177번길 49 형지글로벌 패션복합센터 1층 112호,,5,800,15000,200000,8362,36.5,8128,9,570,0,0,2
이디야커피 인천학익신동아점,"인천 미추홀구 미추홀대로 489 101~103,105호",,5,1800,7600,140000,28460,40.5,0,3,730,1,0,6
이디야커피 인천학익점,인천 미추홀구 한나루로358번길 3 1층,,5,2100,2200,450000,20415,39.7,0,6,690,3,0,4
이디야커피 강화외포리점,인천 강화군 내가면 해안서로 1018 2층,,5,1200,1200,8900,8,48.8,0,1,11480,0,0,0
