매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
메가MGC커피 부평중앙점,인천 부평구 부평대로 42 1층 101호,,6,3000,3600,1800000,31834,42.8,23442,74,250,1,0,40
메가MGC커피 부평로데오점,인천 부평구 시장로 17 1층,,6,2900,5500,3340000,30575,46.3,13714,86,300,0,0,50
메가MGC커피 구월로데오점,인천 남동구 예술로 126 Link126빌딩 1층 105호,,6,2700,100000,9970000,16209,45.6,20963,31,280,0,0,43
메가MGC커피 인천당하점,인천 서구 청마로167번길 9 1층 104호,,6,1400,4000,550000,26994,30.8,13276,18,280,1,0,29
메가MGC커피 인천삼산점,"인천 부평구 길주로 639 현대프라자 1층 104,105호",,6,3800,21000,1610000,26627,40,18509,30,400,0,0,45
메가MGC커피 인천국제성모병원점,인천 서구 탁옥로 105 메인프라자3차 1층 107호,,6,1800,4300,200000,10802,45.6,0,5,520,1,0,10
메가MGC커피 영종합동청사점,인천 중구 공항로424번길 60 대우스카이월드 1층 108-1호,,6,4300,150000,4210000,647,63.7,0,7,5800,0,1,0
메가MGC커피 학산사거리점,인천 미추홀구 한나루로 364 1층,,6,2800,6500,460000,20410,39.7,0,6,330,2,0,4
메가MGC커피 부평구청역점,인천 부평구 부평대로 152 파리상뜨 102호,,6,2000,33000,490000,32992,41.3,12343,17,280,0,0,13
메가MGC커피 인천숭의점,인천 미추홀구 경인로 63 1층,,6,2200,2200,150000,22802,41.4,0,16,350,1,0,8
메가MGC커피 계산역점,인천 계양구 경명대로 1088 1층,,6,1600,6300,510000,32706,47.3,18773,18,370,2,0,8
메가MGC커피 도화점,인천 미추홀구 숙골로 90 1층,,6,2200,12000,720000,24189,41.4,0,24,600,4,0,8
메가MGC커피 만수역점,인천 남동구 구월로 358 1층,,6,1800,3200,460000,30177,43.1,9023,13,430,1,0,28
메가MGC커피 석남점,인천 서구 길주로 91 1층,,6,4900,4900,430000,23971,45,0,15,350,0,0,20
메가MGC커피 백운현대점,인천 부평구 경원대로 1246 동심빌딩 1층,,6,1400,1800,490000,25994,40,0,8,400,1,0,14
메가MGC커피 인천동춘점,인천 연수구 앵고개로264번길 41 한양2차아파트 상가 1층 109호,,6,3800,18000,770000,25385,19.1,0,19,470,2,0,27
