매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
빽다방 빵연구소 인천동춘점,인천 연수구 앵고개로 256 웅지프라자 1층 107~108호,,7,4300,20000,36000,27494,19.1,0,20,800,1,0,27
빽다방 부평로데오점,인천 부평구 부평대로20번길 18-1 1층,,7,1200,17000,100000,28679,46.4,13714,78,120,1,0,71
빽다방 인천구월로데오점,인천 남동구 성말로 9 이노프라자 118호,,7,3200,68000,50000,15480,49.8,20963,27,170,1,0,33
빽다방 부평테마의거리점,인천 부평구 경원대로 1395 부평일번가빌딩 110호,,7,1600,39000,100000,28883,46.4,13714,76,120,0,0,73
빽다방 인천임학역점,인천 계양구 장제로 885-1,,7,1100,2100,12000,34238,42.9,14302,20,870,1,0,10
빽다방 인천검단금호점,"인천 서구 바리미로5번길 12 다승프라자2 1층 103,104호",,7,2200,32000,24000,19277,25,0,29,490,0,0,3
빽다방 동인천역점,"인천 중구 자유공원로 5 1,2층",,7,2100,2100,15000,14038,46.5,26792,25,560,0,0,8
빽다방 인천동암역북부점,인천 부평구 열우물로 39 1층,,7,1400,5000,25000,24947,43.3,30424,19,930,1,0,44
빽다방 인천계산삼거리점,인천 계양구 경명대로 1059 1층,,7,900,5900,24000,28387,48.3,18773,25,670,1,0,15
빽다방 인천청라쓰리엠점,인천 서구 중봉대로586번길 9-4 쓰리엠타워 1층 112호,,7,3500,66000,38000,28958,28.7,0,33,260,0,0,8
빽다방 부평남부역점,인천 부평구 경인로 948 유성프라자 102호,,7,1800,8000,24000,26044,44.7,13714,31,360,0,0,35
빽다방 인천석남역점,인천 서구 가정로 237-1 1층,,7,4200,9100,19000,22919,44.9,0,14,550,0,0,16
빽다방 인천만수역점,인천 남동구 구월로 366 1층,,7,4200,3600,11000,29982,43.1,9023,14,760,1,0,22
빽다방 인천신현하늘채점,인천 서구 석곶로 2 1층,,7,1000,1600,15000,36623,0,11110,18,620,0,0,14
빽다방 인천굴포천역점,인천 부평구 길주로647번길 20 삼성프라자 1층 101호,,7,1900,25000,32000,28277,40,18509,26,400,1,0,38
빽다방 인하대점,인천 미추홀구 인하로77번길 29 1층 102호,,7,800,1900,31000,15372,46.6,0,36,950,2,0,6
빽다방 인천모래내시장점,인천 남동구 구월로 268 대성빌딩 1층 103호,,7,1700,14000,12000,34908,38.7,14378,20,480,1,0,11
빽다방 인천연안부두점,"인천 중구 축항대로86번길 23 102,103,111,112호",,7,2700,2500,7100,4695,54.8,0,5,2350,1,1,5
빽다방 영종운서역점,인천 중구 신도시남로142번길 6 메가스타영종 1층 132호,,7,4300,170000,18000,10329,63.5,18916,12,800,0,0,8
빽다방 인천연수점,인천 연수구 먼우금로188번길 12 이리옴3빌딩 1층 114호,,7,2900,24000,20000,17920,39.1,0,27,790,1,0,28
빽다방 인천청라진영점,인천 서구 청라라임로 71 진영메디피아 1층 119호,,7,2600,79000,45000,27001,28.7,0,38,260,0,0,8
빽다방 작전현대점,인천 계양구 효서로 377 작전현대2차아파트 상가 1층 104호,,7,4400,16000,7500,32446,33.5,0,8,680,1,0,10
빽다방 운서영종대로점,인천 중구 영종대로196번길 19 1층,,7,4300,29000,21000,10768,63.5,0,12,790,0,0,2
빽다방 인천도화청운대점,인천 미추홀구 숙골로87번길 24 가야프라자 1층 101호,,7,1700,5300,32000,19374,41.5,0,25,1080,3,0,10
빽다방 인천법원삼거리점,인천 미추홀구 소성로 159 현준솔로몬빌딩 108호,,7,1500,10000,12000,17349,36.6,0,14,400,0,0,43
빽다방 부평동아점,인천 부평구 부평문화로 55 와이디타워 1층 102호,,7,2200,30000,75000,26744,43.1,0,71,200,1,0,72
빽다방 송도아트포레점,인천 연수구 인천타워대로 257 아트포레 A동 1층 111호,,7,1900,150000,24000,7200,18.6,7404,21,550,0,1,2
빽다방 인천검단사거리점,인천 서구 검단로 474 뷰비스타운 1층,,7,2000,12000,22000,19997,38.5,15003,26,1100,1,0,28
빽다방 청라3단지루비점,인천 서구 청라루비로144번길 19 1층 102호,,7,1000,1100,10000,25192,27.6,0,15,460,3,0,20
빽다방 송도더테라스점,인천 연수구 센트럴로 415 판매시설동 1층 147호,,7,2300,160000,6500,14893,19.5,0,6,580,0,0,0
빽다방 인천선학역점,인천 연수구 학나래로118번길 47 1층,,7,1600,11000,12000,15094,41.6,11234,14,740,1,1,28
빽다방 인천논현점,인천 남동구 논고개로 93 리즌텔 109호,,7,1700,23000,58000,21220,36.4,10978,45,270,0,0,18
빽다방 인천굴포천역2호점,인천 부평구 장제로 224 1층,,7,1200,3000,24000,29147,40,18509,25,400,1,0,23
빽다방 인천송도점,인천 연수구 컨벤시아대로 81 드림시티 1층 112호,62,7,1900,200000,46000,25785,27.5,0,51,300,0,0,25
빽다방 부평청천중점,인천 부평구 세월천로 35 1층,,7,1800,27000,11000,26623,29,0,12,530,1,0,11
빽다방 인천작전역힐스테이트점,인천 계양구 봉오대로651번길 4 1층,,7,1100,2000,20000,21711,37.2,24928,18,350,0,0,15
빽다방 인천신포시장점,인천 중구 개항로 28 1-2층,,7,2800,2800,29000,6899,51.9,0,35,560,2,0,9
