매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
더벤티 부평점,인천 부평구 경원대로 1395 부평1번가빌딩 1층 107호,,8,1300,30000,3150000,28883,46.3,13714,74,300,0,0,73
더벤티 부평미주점,인천 부평구 부평문화로115번길 52 미주아파트 1층 104호,,8,900,4700,1010000,43727,43,0,16,400,1,0,14
더벤티 시민공원역점,인천 미추홀구 경인로 372 포레나미추홀 지하1층 1003호,,8,700,290000,640000,30776,47.3,0,29,670,0,0,28
더벤티 호구포역점,인천 남동구 호구포로 210 세움프라자 1층 101호,,8,600,2600,410000,11170,35.8,7459,21,800,0,0,9
더벤티 인천도화점,인천 미추홀구 숙골로 102 채움프라자 1층 106호,,8,1600,7600,690000,21292,41.4,0,21,500,4,0,8
더벤티 완정역점,인천 서구 서곶로 837 1층 102호,,8,1500,10000,630000,26197,30.6,13276,18,250,1,0,30
더벤티 검단호반써밋점,인천 서구 이음5로 15 검단호반써밋1차 3120동 107호,,8,500,9800,540000,20340,25.8,0,10,300,2,0,2
더벤티 부평산곡점,인천 부평구 안남로222번길 27 경남아파트 1차상가 1층 103호,,8,100,24000,290000,50043,33.5,0,9,750,3,0,4
더벤티 인천예술회관점,인천 남동구 문화로89번길 23 1층,,8,500,1000,560000,17947,49.2,20963,24,1200,0,0,20
더벤티 계산역점,인천 계양구 주부토로 541 1층 113호,,8,2000,22000,490000,33523,47.3,18773,18,1000,2,0,8
더벤티 인천길병원점,인천 남동구 구월남로 174 그랜드프라자 1층,,8,1200,51000,920000,40645,43.1,11291,32,850,1,0,30
더벤티 인천부개점,인천 부평구 길주남로 155 1층,,8,1800,1800,320000,25666,30.1,0,11,530,3,0,10
더벤티 인천공항화물청사점,인천 중구 공항동로193번길 116 112호,,8,2100,72000,73000,0,0,0,2,4200,0,1,0
더벤티 간석올리브점,인천 남동구 석산로 157 105호,,8,1100,10000,510000,31391,44,0,16,600,2,0,15
더벤티 인천갈산점,인천 부평구 주부토로249번길 17 부평지웰에스테이트 트라이앵글171 1층 114호,,8,500,17000,380000,16728,33.5,0,25,1300,0,0,13
더벤티 인천논현점,인천 남동구 논고개로123번길 35 칼리오페 A114호,,8,800,110000,1240000,17815,36.5,10978,25,660,1,0,18
더벤티 인천백운역점,인천 부평구 마장로 76 1층,,8,1200,6700,310000,23159,41.6,14210,8,600,2,0,14
더벤티 인천원당점,인천 서구 원당대로 860 보람프라자 1층 104호,,8,1200,9400,590000,21846,25.8,0,20,1000,0,0,17
더벤티 임학역점,인천 계양구 장제로 879 1층,,8,500,3000,530000,33864,43.1,14302,16,1000,1,0,12
더벤티 주안힐스테이트푸르지오점,인천 미추홀구 남주길 150 1층 116호,,8,1100,59000,260000,27837,42.7,0,6,600,1,0,8
더벤티 인천신포점,인천 중구 제물량로 163-1 1층,,8,1600,1600,740000,6381,51.4,0,30,750,2,0,10
더벤티 송도마스터뷰점,인천 연수구 컨벤시아대로274번길 55 상가동 1층 4호,,8,1400,17000,55000,18549,28.8,0,1,1100,3,0,0
더벤티 송도호반베르디움점,인천 연수구 랜드마크로 110 호반베르디움 EDU CITY 2동 1층 102호,,8,700,17000,170000,26465,21,0,4,360,2,0,0
더벤티 송도한라웨스턴파크점,인천 연수구 아트센터대로168번길 100 1층 120호,,8,700,35000,170000,5792,19.5,9703,10,630,0,1,0
더벤티 인천석남사거리점,인천 서구 가정로151번길 4 103동 103호,,8,1300,25000,820000,18877,45.3,0,12,880,2,0,8
더벤티 인천검단신도시점,인천 서구 이음5로 30 연세프라자9 1층 112호,,8,1800,45000,880000,17719,25.8,0,19,300,0,0,3
더벤티 부평SK뷰해모로점,인천 부평구 동수천로 71 부평SK뷰해모로아파트 상가 1층 104호,,8,900,11000,150000,41224,43,0,5,350,2,0,8
더벤티 연수구청점,인천 연수구 원인재로 124 상가동 108호,,8,1100,40000,1110000,24407,29.8,0,13,2500,4,0,3
더벤티 인천가정점,인천 서구 봉오재3로 104 엔시티타워 2차 107호,,8,1300,44000,730000,21763,32.5,0,29,600,0,0,10
더벤티 인천법원점,"인천 미추홀구 소성로185번길 5 101,102호",,8,700,3000,420000,17116,36.1,0,23,700,1,0,52
더벤티 인천석남점,인천 서구 가정로 309 1층 1-5호,,8,1100,2800,430000,29243,38.1,0,15,650,1,0,15
더벤티 인천만수점,인천 남동구 만수서로 56 1층 102호,,8,500,71000,390000,34174,37.5,0,16,400,3,0,5
더벤티 인천남촌점,인천 남동구 호구포로535번길 39 대성테크노빌딩 1층 102호,,8,800,14000,190000,10183,38.4,0,11,1500,1,0,8
더벤티 인천서운산업단지점,인천 계양구 서운산단로 29 1층 106호,,8,600,4900,41000,0,0,0,4,2000,3,0,0
더벤티 인천서창점,인천 남동구 서창남순환로 222 센타프라자 115호,,8,1600,35000,880000,16697,35.7,0,24,2400,1,0,15
더벤티 숭의로터리점,인천 미추홀구 독배로 498 1층,,8,700,1300,330000,29746,41.9,0,16,420,0,0,11
더벤티 청라시티타워점,인천 서구 청라대로 127 112호,,8,300,7300,240000,12161,29.2,0,14,600,0,0,4
더벤티 인천모래내시장점,인천 남동구 호구포로 818 1층 103호,,8,1500,37000,950000,35562,38.1,14378,19,1000,2,0,8
더벤티 인천서구청점,인천 서구 탁옥로 37 우리타워 1층 104호,,8,900,11000,680000,19723,39.7,14639,22,1700,0,0,25
더벤티 검단사거리점,인천 서구 검단로 486 1층,,8,1100,360000,640000,22236,53.6,15003,26,1200,1,0,35
