매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
투썸플레이스 가천대길병원점,인천 남동구 남동대로774번길 21 본관 1층,,9,8700,34000,410000,38094,43.1,0,34,140,1,0,9
투썸플레이스 강화전등사점,인천 강화군 길상면 전등사로 41 프레시아관광호텔 1층,,9,1400,1800,14000,226,46,0,2,6480,0,0,0
투썸플레이스 강화화도점,인천 강화군 화도면 해안남로 1812-3,,9,1800,1800,4600,153,49.9,0,1,6480,0,0,0
투썸플레이스 구월아시아드점,인천 남동구 선수촌공원로 36 더블루시티 1층 103~105호,,9,2800,30000,410000,14721,49.6,0,22,850,0,0,11
투썸플레이스 길병원암센터점,인천 남동구 남동대로 783 1층,,9,5800,14000,1070000,36370,43.1,0,36,140,1,0,35
투썸플레이스 도화점,"인천 미추홀구 숙골로87번길 28-1 다온프라자1 1,2층 104호",,9,2600,8400,490000,16865,41.3,0,21,430,3,0,8
투썸플레이스 도화힐스테이트점,인천 미추홀구 염전로168번길 15 110~114호,,9,2600,2600,100000,11326,36.4,0,7,800,3,0,0
투썸플레이스 부평구청역점,인천 부평구 길주남로 4 1층,,9,4200,5100,510000,33680,41.3,12343,16,820,0,0,8
투썸플레이스 부평남부역점,인천 부평구 경인로 946 1층,,9,2700,2700,890000,24475,44.7,13714,30,270,0,0,22
투썸플레이스 부평산곡위브점,인천 부평구 마곡로 14 두산위브더파크 상가동 1층 6~8호,,9,3100,13000,250000,23752,28.9,0,12,560,3,9,5
투썸플레이스 부평시장역점,인천 부평구 부평대로 65 1층,,9,3600,3600,930000,36697,42.8,23442,34,540,2,0,22
투썸플레이스 부평점,인천 부평구 시장로30번길 3 1-2층,,9,8100,8100,2740000,32558,46.3,13714,71,470,0,0,40
투썸플레이스 부평cgv,인천 부평구 마장로 489,,9,1200,320000,530000,16815,31.8,0,22,1100,1,0,3
투썸플레이스 산곡역점,인천 부평구 길주로364번길 9 1층 119~121호,,9,3800,26000,190000,24160,28.5,17060,10,560,2,0,7
투썸플레이스 삼성바이오로직스점,인천 연수구 송도바이오대로 300 복지동 3층,,9,3500,27000,39000,5755,30.2,0,1,810,0,0,3
투썸플레이스 송도국제도시점,"인천 연수구 컨벤시아대로 69 밀레니엄 1층 117,118호",63,9,4400,150000,2150000,22106,26.9,0,51,770,0,0,13
투썸플레이스 송도닥터플러스몰점,"인천 연수구 컨벤시아대로230번길 54 H102,H103,A231호",,9,3700,110000,100000,17408,24.9,0,11,390,0,0,1
투썸플레이스 송도동북아무역센터점,인천 연수구 컨벤시아대로 165 포스코타워 1층,53,9,3600,150000,1010000,12134,24.9,0,19,530,0,1,2
투썸플레이스 송도랜드마크시티점,인천 연수구 랜드마크로 68 1층,,9,4300,240000,280000,26404,21,0,8,2000,0,0,0
투썸플레이스 송도캠퍼스타운점,"인천 연수구 송도과학로27번길 55 301동 B-209, 210호",,9,2600,210000,210000,16153,30.9,10565,10,850,2,0,0
투썸플레이스 송도커낼워크점,"인천 연수구 아트센터대로 87 커낼워크D4 겨울동 401동 101, 201호",,9,3200,87000,220000,17652,18.5,0,6,930,1,0,2
투썸플레이스 송도트리플스트리트점,"인천 연수구 송도과학로16번길 33-2 B동 1,2층 134b, 209b호",,9,5700,230000,5190000,6783,33,0,32,850,0,0,3
투썸플레이스 송도포스코E&C타워점,인천 연수구 인천타워대로 241 지하 1층,,9,1000,10000,380000,12706,18.6,7404,21,389,0,1,1
투썸플레이스 완정점,인천 서구 청마로19번길 20 1층 104호,,9,4300,6500,610000,26160,30.6,13276,16,590,1,0,18
투썸플레이스 인천가정루원시티점,"인천 서구 염곡로 468 드림타워 105,202,203호",,9,3800,15000,730000,26215,33,0,29,1100,0,0,8
투썸플레이스 인천가좌점,인천 서구 건지로 375 1층,,9,4000,4100,620000,23046,37.9,0,13,1500,0,0,8
투썸플레이스 인천간석사거리점,인천 남동구 호구포로 887 1층,,9,3500,6500,340000,38357,36.1,0,9,720,2,0,13
투썸플레이스 인천간석점,인천 남동구 남동대로 894 강남빌딩 1층,,9,3900,3900,640000,31072,44,0,24,720,1,0,14
투썸플레이스 인천간석중앙공원점,"인천 남동구 석산로 79-1 1,2층",,9,2700,2700,180000,22252,49,7700,11,730,1,0,7
투썸플레이스 인천갈산역점,인천 부평구 평천로 286 1-2층,,9,2400,5700,270000,13164,36.7,15565,16,1080,0,0,12
투썸플레이스 인천강화점,인천 강화군 강화읍 강화대로 401-1 1~2층,,9,3000,3000,260000,4695,42.9,0,12,11350,1,1,4
투썸플레이스 인천검단금호점,"인천 서구 원당대로 1045 1,2층",,9,3300,32000,590000,17422,25.1,0,20,510,0,0,3
투썸플레이스 인천검단법원점,"인천 서구 서로3로 106 조이프라자 106,107,202,203호",,9,3900,13000,220000,20051,25.8,0,14,580,0,0,0
투썸플레이스 인천검단사거리점,"인천 서구 완정로 151-1 왕길빌딩 1,2층",,9,4600,6900,520000,20687,35.6,15003,22,1000,1,0,23
투썸플레이스 인천검단신도시점,인천 서구 발산로5번길 12 인천검단엔젤리움1차윈팰리스 103~106호,,9,4700,55000,880000,18178,22.5,0,19,510,0,0,4
투썸플레이스 인천검단이음대로점,인천 서구 이음대로 473 1층 104~107호,,9,4100,4200,170000,21519,25.1,0,10,620,0,0,0
투썸플레이스 인천검암점,"인천 서구 승학로 508 104, 105, 201호",,9,3900,3900,500000,16505,40.1,0,13,1360,1,0,26
투썸플레이스 인천계산역점,인천 계양구 경명대로 1074 삼환빌딩 101호,,9,2500,17000,550000,29947,47.3,18773,22,1020,1,0,10
투썸플레이스 인천계양구청점,"인천 계양구 계양문화로 58 계양프라자 1,2층",,9,6200,8800,1020000,31991,35,0,33,440,1,0,19
투썸플레이스 인천계양점,인천 계양구 오조산공원로 22 계양프라자 1층 112~116호,,9,3300,18000,1460000,35543,40.8,0,29,440,0,0,22
투썸플레이스 인천구월역점,인천 남동구 구월로 221 아세아프라자 1층,,9,4200,12000,460000,45629,44.7,14378,12,720,4,0,2
투썸플레이스 인천구월예술로점,인천 남동구 예술로140번길 33 화성빌딩 1층 101호,,9,5000,22000,1800000,15848,49.8,20963,25,200,1,0,31
투썸플레이스 인천구월중앙점,인천 남동구 성말로 10 효명프라자 1층 116호,,9,5800,61000,10070000,16632,49.8,20963,29,200,0,0,28
투썸플레이스 인천논현역튜브점,인천 남동구 청능대로 575 1층 112~115호,,9,5600,32000,1300000,18576,36.5,10978,30,510,0,0,18
투썸플레이스 인천논현점,인천 남동구 논고개로 71,,9,2900,17000,970000,26253,36.5,0,27,510,1,0,7
투썸플레이스 인천독정이삼거리점,인천 미추홀구 독정이로 3 1-2층,,9,1200,1200,140000,17430,50.6,0,8,550,0,0,1
투썸플레이스 인천동암역점,인천 부평구 열우물로 44 1층,,9,3100,3800,740000,27400,43.3,30424,17,1320,1,0,24
투썸플레이스 인천동춘점,인천 연수구 앵고개로264번길 30-5,,9,3900,6500,770000,26154,19.1,0,19,1050,4,0,24
투썸플레이스 인천마전역점,인천 서구 완정로 51 1층,,9,4400,4400,420000,21087,35,7444,11,610,2,0,10
투썸플레이스 인천만수3지구점,인천 남동구 장승남로 44 명진프라자 2층,,9,4100,12000,740000,22217,42.7,0,21,2110,3,0,14
투썸플레이스 인천만수향촌점,인천 남동구 만수로 80 1층,,9,2900,4400,270000,31457,33.6,0,16,1440,5,0,4
투썸플레이스 인천문학점,"인천 미추홀구 매소홀로 590 1,2층",,9,5700,5700,160000,8760,43.6,0,5,1430,0,0,2
투썸플레이스 인천법원점,인천 미추홀구 소성로 197 1층,,9,3300,3300,390000,18713,36.1,0,20,1580,0,0,43
투썸플레이스 인천부개점,인천 부평구 부흥로 412 1층,,9,3400,3400,180000,34238,34.5,0,9,1060,4,0,5
투썸플레이스 인천산곡점,인천 부평구 원적로 392 백마타운 1층 101호,,9,5000,12000,320000,48254,33.5,0,10,750,3,0,6
투썸플레이스 인천삼산사거리점,인천 부평구 평천로 398 1층 103~105호,,9,3200,5000,410000,28419,33.4,0,14,1080,2,0,8
투썸플레이스 인천삼산점,"인천 부평구 길주로 659 미라쥬타워 110,111호",,9,3500,58000,900000,26120,35.4,18509,25,1080,1,0,15
투썸플레이스 인천서구청점,인천 서구 서곶로 300 1층,,9,2200,17000,560000,20830,39.7,14639,17,2080,0,0,22
투썸플레이스 인천서창점,인천 남동구 서창남순환로216번길 30 대홍프라자 1층 105~108호,,9,3600,11000,790000,14611,35.7,0,23,2490,0,0,13
투썸플레이스 인천석남역점,인천 서구 길주로 101-1 대진빌딩 1층,,9,3500,3500,410000,24572,45,9278,14,1240,0,0,10
투썸플레이스 인천석바위시장역점,인천 미추홀구 경인로 452,,9,3900,11000,580000,24620,53.5,7867,19,860,0,0,15
투썸플레이스 인천송도센트럴파크점,인천 연수구 센트럴로 194 1층,,9,3900,170000,560000,21545,24.9,0,11,530,0,1,5
투썸플레이스 인천송도유원지점,인천 연수구 청량로 83 1층,,9,1700,1700,380000,4165,37.1,0,16,1430,0,1,1
투썸플레이스 인천송현점,인천 동구 수문통로 47 1층,,9,2800,4500,270000,22125,46.1,0,7,700,1,0,6
투썸플레이스 인천숭의점,인천 미추홀구 인주대로 51 더스테이프라임월드 1층,,9,3500,31000,230000,35266,41.3,0,13,610,0,0,5
투썸플레이스 인천스퀘어원점,인천 연수구 청능대로 210 3층,,9,7200,1100000,3330000,13277,33.6,18142,14,1050,0,0,2
투썸플레이스 인천시청점,인천 남동구 미래로 14 일류빌딩 1층 101호,,9,5700,6800,1490000,25392,43.9,20963,35,280,3,0,33
투썸플레이스 인천신포점,인천 중구 신포로 16-1 1층,,9,2300,2300,2300,5249,52,3676,29,740,1,0,10
투썸플레이스 인천신현점,인천 서구 가정로 370 2층,,9,3100,27000,890000,34237,38.1,11110,16,1000,0,0,12
투썸플레이스 인천연수역점,인천 연수구 벚꽃로 114 브랫슬 1층 103~105호,,9,4700,65000,940000,16329,39.1,9591,20,1280,0,0,21
투썸플레이스 인천영종운서점,"인천 중구 햇내로28번길 10 1,2층",,9,6000,31000,400000,10682,63.7,0,18,1840,0,0,2
